region,iso3,survey_year,variable.x,denominator.x,numerator.x,birth.registration,variable.y,denominator.y,numerator.y,U5M,variable,denominator,numerator,education
Balaka,MWI,2016,registration,456.599368,240.872652,0.527536104692988,mortality,1037.8671525,81.004972,0.0780494611520139,education,1176.20797,108.795363,0.0924967061734839
Bandarban,BGD,2014,registration,14.33593,5.734372,0.4,mortality,28.0862595,2.1604815,0.0769230769230769,education,117.554626,25.804674,0.219512195121951
Banke,NPL,2017,registration,94.730569,61.437831,0.648553383016205,mortality,270.172534,24.1134605,0.0892520795618699,education,440.92967,52.274613,0.118555444454441
Bara,NPL,2017,registration,252.41207,100.86935,0.399621737581725,mortality,533.8797925,34.2803795,0.0642099213747634,education,743.873568,92.407022,0.124224096641111
Bardiya,NPL,2017,registration,62.938433,43.854743,0.696787970555289,mortality,146.681597,3.5240075,0.0240248781856391,education,373.458826,48.053329,0.128671022491781
Barguna,BGD,2014,registration,40.230429,10.999046,0.273401161096244,mortality,98.2304,5.6716495,0.0577382307310161,education,224.833637,27.27867,0.121328242357259
Barisal,BGD,2014,registration,154.586121,31.977829,0.20686093158389,mortality,387.475054,14.9814255,0.0386642323043589,education,1037.041235,325.747043,0.314111948499328
Bhaktapur,NPL,2017,registration,112.487489,45.838429,0.407498019624209,mortality,234.7207225,0.9176255,0.00390943539294874,education,915.945734,295.734182,0.322873038240495
Bhojpur,NPL,2017,registration,20.515792,9.857592,0.480488006507377,mortality,59.6948975,1.5259195,0.0255619753765387,education,122.428332,16.052134,0.131114536462034
Bhola,BGD,2014,registration,109.114167,18.729661,0.1716519633972,mortality,290.58293,17.459063,0.0600828926874679,education,479.077269,60.561975,0.126413793596206
Blantyre,MWI,2016,registration,724.061813,490.854649,0.677918155863303,mortality,1733.3863145,93.206684,0.0537714433420375,education,2355.295583,886.334531,0.376315625689347
Bogra,BGD,2014,registration,130.312313,16.124465,0.123737079242849,mortality,347.781299,20.400238,0.0586582373999357,education,879.203863,182.35579,0.207410132819219
Boucle de Mouhoun,BFA,2011,registration,1764.134435,1528.171625,0.866244428248463,mortality,4224.67803,519.47143,0.122961188121595,education,3644.667517,14.416423,0.0039554837122335
Brahamanbaria,BGD,2014,registration,184.688965,30.309218,0.164109523273359,mortality,489.05606,16.7649525,0.0342802264836469,education,634.771944,85.494146,0.134684821545925
Cabo Delgado,MOZ,2011,registration,895.75615,389.853465,0.435222761239206,mortality,2121.876913,238.7545985,0.11252047516858,education,2078.357942,37.891923,0.0182316636774976
Cascades,BFA,2011,registration,547.677941,450.309012,0.822214988571176,mortality,1403.974055,217.884643,0.155191359999883,education,1326.720709,15.723066,0.0118510745278493
Centre,BFA,2011,registration,1290.780169,1189.883433,0.921832750128035,mortality,2999.279893,258.5966945,0.0862195939443788,education,4884.783424,567.575072,0.11619247420702
Centre-Est,BFA,2011,registration,1194.17822,932.693851,0.781034049507284,mortality,2677.597213,201.9768055,0.0754321092505559,education,2416.710719,19.255875,0.00796780303435233
Centre-Nord,BFA,2011,registration,1171.883042,901.837439,0.769562666817735,mortality,2773.7905925,296.002321,0.106714011432714,education,2553.001145,13.773097,0.00539486518718346
Centre-Ouest,BFA,2011,registration,1172.716436,731.312088,0.623605217382661,mortality,2864.760532,383.9899965,0.13403912550831,education,2471.215375,36.490104,0.0147660557510088
Centre-Sud,BFA,2011,registration,688.617281,602.168639,0.874460539424075,mortality,1637.2707055,200.8766495,0.122689942979622,education,1651.393853,11.868659,0.00718705533415837
Chandpur,BGD,2014,registration,130.194131,28.467197,0.218651922182268,mortality,292.3304675,16.5572355,0.0566387610624267,education,553.891052,112.503485,0.203114826632007
Chikwawa,MWI,2016,registration,566.672265,305.890437,0.539801320609894,mortality,1282.2078265,71.5570525,0.0558076865708478,education,1554.599363,129.704002,0.0834324296580842
Chiradzulu,MWI,2016,registration,336.394361,261.45108,0.777216000954308,mortality,833.7186965,55.3977205,0.0664465373423469,education,1022.748132,87.915578,0.0859601452686887
Chitawan,NPL,2017,registration,101.854961,30.640202,0.300821891238071,mortality,258.8283905,6.424134,0.0248200515700383,education,604.774429,147.565413,0.244000747921834
Chitipa,MWI,2016,registration,177.932872,146.275376,0.822081801725765,mortality,435.695112,22.6395835,0.0519619864360562,education,513.778466,68.884841,0.134074986708376
Chittagong,BGD,2014,registration,493.788584,127.979219,0.259178164799371,mortality,1316.7261535,84.165173,0.0639200283037441,education,2411.846658,525.773351,0.217996177018979
Chuadanga,BGD,2014,registration,43.8477,5.480754,0.124995244904522,mortality,126.9315845,7.6636815,0.0603764739106365,education,346.010414,52.197708,0.150855887245058
Comilla,BGD,2014,registration,325.541508,44.691673,0.137284100189153,mortality,736.796181,31.068063,0.0421664278414603,education,1301.264725,232.505118,0.178676262818083
Cox's Bazar,BGD,2014,registration,158.717076,16.340845,0.102955809241345,mortality,407.2371655,38.078104,0.093503509074984,education,595.052794,68.037498,0.114338590938538
DOKOLO,UGA,2016,registration,73.279812,29.230221,0.398885043536957,mortality,149.5065685,10.1655995,0.0679943336402641,education,182.094623,24.892579,0.136701340159835
Dadeldhura,NPL,2017,registration,13.985172,9.37951,0.670675340996879,mortality,57.262578,0.406734,0.00710296347467975,education,118.845931,14.565909,0.122561276414251
Dailekh,NPL,2017,registration,51.425973,24.356181,0.473616337798801,mortality,149.522583,8.847742,0.0591732822058057,education,185.234186,30.883239,0.16672537433236
Dang,NPL,2017,registration,89.832902,45.840465,0.510285919517551,mortality,227.952043,3.9034755,0.0171241084248585,education,487.944749,95.38317,0.195479447612623
Darchula,NPL,2017,registration,36.268592,23.381512,0.644676584081345,mortality,110.6058835,8.5960465,0.0777178051292362,education,176.876377,31.751666,0.179513321894874
Dedza,MWI,2016,registration,747.71179,636.887443,0.851781998783248,mortality,1852.224468,153.241788,0.0827339184032418,education,2104.985176,92.66965,0.0440238967269573
Dhading,NPL,2017,registration,33.724614,29.735092,0.881702960336329,mortality,81.4036695,10.4840405,0.128790760470571,education,243.409862,42.432439,0.174325060830937
Dhaka,BGD,2014,registration,767.065305,164.183402,0.214040970084027,mortality,1803.9801515,63.424032,0.0351578325001321,education,4166.113069,1294.795106,0.310792118349969
Dhankuta,NPL,2017,registration,29.653523,22.899881,0.7722482418025,mortality,67.4124265,2.625326,0.038944244203997,education,196.445893,41.372566,0.210605400643321
Dhanusa,NPL,2017,registration,158.446301,61.243354,0.386524353130844,mortality,374.714826,15.517117,0.0414104698382017,education,629.647371,126.938079,0.201601856604909
Dinajpur,BGD,2014,registration,244.437263,54.939797,0.224760318151656,mortality,616.7017005,17.220927,0.0279242411461455,education,1506.669493,230.620419,0.153066362643874
Dolakha,NPL,2017,registration,24.744486,24.744486,1,mortality,57.144674,5.002716,0.0875447465147846,education,99.1889,5.398622,0.0544276829362963
Dolpa,NPL,2017,registration,8.90022,8.26449,0.928571428571428,mortality,32.207826,5.683734,0.176470588235294,education,40.05099,5.72157,0.142857142857143
Doti,NPL,2017,registration,30.975805,17.145939,0.553526825210838,mortality,118.9731545,9.4915915,0.0797792707093431,education,159.172931,20.490516,0.128731159696996
